net,length_um
_123_,187.945
_125_,176.81
_124_,163.3
net8,159.42
net5,158.54
_138_,147.48
net4,144.78
net17,143.96
net6,139.86
net15,137.035
net29,136.9
net32,136.59
net19,133.16
_135_,127.96
net13,123.12
_130_,120.62
_094_,118.535
net7,116.17
net16,114.43
net10,110.42
_061_,110.28
_132_,100.4
net9,97.63
_035_,96.87
net31,96.56
_121_,95.63
net30,94.7
_032_,93.26
_105_,92.555
_092_,92.02
net23,91.36
_065_,91.26
net22,91.22
_081_,90.69
net11,90.55
net34,90.15
net1,87.73
net12,87.3
net21,86.22
clknet_0_clk,85.17
_122_,84.45
_080_,84.41
_049_,83.88
net14,83.6
_050_,83.5
net38,83.1
net33,80.74
net35,80.36
net36,80.04
_054_,77.8
_108_,77.72
net28,77.425
_095_,76.32
net2,76.16
_075_,74.84
net25,71.9
_056_,70.98
_085_,70.92
clknet_2_1__leaf_clk,69.115
_090_,68.42
_146_,67.06
_042_,65.72
net24,65.23
net42,65.18
_126_,64.09
net18,63.26
clknet_2_2__leaf_clk,62.7
_077_,62.49
_137_,62.4
_093_,61.7
_047_,60.585
net3,60.015
_037_,57.84
_088_,57.57
clknet_2_0__leaf_clk,57.54
net20,57.26
_091_,56.43
_043_,56.14
_113_,55.04
_046_,54.3
_142_,54.29
_045_,54.18
clknet_2_3__leaf_clk,53.415
_131_,53.28
net39,52.74
_079_,50.8
net26,49.98
_036_,49.74
net37,49.71
_074_,48.6
_127_,47.48
_064_,47
_068_,46.84
_078_,46.26
_048_,45.76
_114_,45.38
_133_,44.06
_060_,43.82
_039_,43.48
_066_,42.82
_034_,42.72
_053_,42.36
_058_,41.82
_086_,41.78
_033_,40.4
clk,39.83
_099_,39.72
_044_,39.55
_070_,38.76
_106_,38.49
_025_,38.225
_104_,37.68
_147_,37.06
_040_,36.88
_041_,36.28
_071_,35.68
_141_,34.08
_110_,33.48
_129_,33.3
_013_,32.98
_083_,32.68
_097_,32.38
_073_,31.06
_020_,30.84
_069_,30.76
net27,30.08
_062_,29.14
_100_,28.86
OUT_COUNT[17],28.85
_007_,27.765
_022_,26.92
_063_,26.72
_030_,26.46
_059_,26.08
_143_,26.04
_112_,25.56
_140_,25.3
_008_,25.14
_001_,24.205
_012_,24.2
_082_,24
_107_,23.98
_009_,23.2
_098_,22.625
_026_,22.24
_072_,22.22
OUT_COUNT[20],22.16
_111_,21.42
_005_,21.32
_089_,20.76
_003_,20.705
_029_,19.64
_145_,19.44
_101_,19.265
_102_,19.2
_134_,19.08
net41,18.82
_117_,18.7
_031_,18.66
_139_,18.26
_027_,17.64
OUT_COUNT[0],17.44
_004_,17.18
_014_,16.96
_051_,16.77
_038_,16.2
_018_,15.98
_096_,15.675
_109_,15.4
OUT_COUNT[4],15.09
_118_,14.8
_006_,14.6
INP_UP_DOWN,14.3
_076_,14.16
_116_,13.86
OUT_COUNT[26],13.76
_120_,13.68
_016_,13.54
OUT_COUNT[13],13.3
_011_,13.08
OUT_COUNT[11],12.62
_024_,12.36
OUT_COUNT[21],11
OUT_COUNT[24],11
OUT_COUNT[5],11
OUT_COUNT[6],11
_136_,10.86
INP_NEG_RST,10.76
_002_,10.66
_119_,10.46
_084_,10.16
OUT_COUNT[18],10.1
_128_,9.96
_028_,9.6
_000_,9.14
net45,9.08
OUT_COUNT[25],8.96
OUT_COUNT[31],8.96
net40,8.84
OUT_COUNT[14],8.25
OUT_COUNT[9],8.25
_055_,8.1
OUT_COUNT[28],8.04
OUT_COUNT[29],8.04
OUT_COUNT[2],8.04
OUT_COUNT[7],8.04
_087_,7.34
_023_,6.48
net43,6.28
OUT_COUNT[12],6.21
OUT_COUNT[3],6.21
OUT_COUNT[8],6.21
_052_,5.84
OUT_COUNT[16],5.53
OUT_COUNT[19],5.53
OUT_COUNT[1],5.53
_144_,5.4
_103_,5.26
OUT_COUNT[10],5.19
OUT_COUNT[15],5.19
OUT_COUNT[23],5.19
OUT_COUNT[27],5.19
OUT_COUNT[22],4.85
OUT_COUNT[30],4.85
_010_,4.44
_021_,4.12
_057_,3.78
_115_,3.56
_015_,3.54
_017_,2.74
_019_,2.74
_067_,1.84
net44,0.46
